date,tweets
01-10-2012,9
01-11-2012,4
01-12-2012,5
01-13-2012,7
01-16-2012,1
01-17-2012,6
01-18-2012,7
01-19-2012,9
01-20-2012,7
01-23-2012,8
01-24-2012,6
01-25-2012,12
01-26-2012,10
01-27-2012,10
01-30-2012,5
01-31-2012,11
02-01-2012,14
02-02-2012,2
02-03-2012,9
02-05-2012,3
02-06-2012,8
02-07-2012,10
02-08-2012,23
02-09-2012,19
02-10-2012,8
02-13-2012,7
02-14-2012,12
02-15-2012,20
02-16-2012,13
02-17-2012,10
02-21-2012,7
02-22-2012,11
02-23-2012,11
02-24-2012,12
02-27-2012,7
02-28-2012,11
02-29-2012,8
03-01-2012,6
03-05-2012,6
03-06-2012,10
03-07-2012,8
03-08-2012,7
03-09-2012,5
03-12-2012,10
03-13-2012,11
03-14-2012,8
03-15-2012,6
03-16-2012,12
03-17-2012,1
03-19-2012,7
03-20-2012,9
03-21-2012,8
03-22-2012,3
03-23-2012,9
03-26-2012,8
03-28-2012,14
03-29-2012,13
03-30-2012,16
04-02-2012,7
04-03-2012,9
04-04-2012,8
04-05-2012,9
04-06-2012,14
04-09-2012,7
04-10-2012,4
04-11-2012,8
04-12-2012,7
04-13-2012,11
04-14-2012,3
04-15-2012,2
04-16-2012,6
04-17-2012,6
04-18-2012,6
04-19-2012,14
04-20-2012,3
04-22-2012,3
04-23-2012,11
04-24-2012,8
04-25-2012,2
04-26-2012,8
04-27-2012,8
04-30-2012,10
05-01-2012,8
05-02-2012,10
05-03-2012,6
05-04-2012,10
05-06-2012,23
05-07-2012,13
05-08-2012,7
05-09-2012,8
05-10-2012,7
05-11-2012,11
05-14-2012,8
05-15-2012,12
05-16-2012,6
05-17-2012,6
05-18-2012,6
05-20-2012,1
05-21-2012,4
05-22-2012,16
05-23-2012,10
05-24-2012,11
05-27-2012,1
05-29-2012,8
05-30-2012,21
05-31-2012,11
06-01-2012,17
06-02-2012,1
06-03-2012,4
06-04-2012,9
06-05-2012,9
06-06-2012,9
06-07-2012,8
06-08-2012,4
06-09-2012,6
06-11-2012,8
06-12-2012,14
06-13-2012,11
06-14-2012,8
06-15-2012,7
06-18-2012,3
06-19-2012,6
06-20-2012,8
06-21-2012,5
06-22-2012,9
06-25-2012,9
06-26-2012,5
06-27-2012,6
06-28-2012,7
06-29-2012,11
07-02-2012,9
07-03-2012,13
07-05-2012,6
07-06-2012,6
07-07-2012,1
07-09-2012,2
07-10-2012,7
07-11-2012,13
07-12-2012,6
07-13-2012,14
07-16-2012,4
07-17-2012,20
07-18-2012,21
07-19-2012,15
07-20-2012,11
07-23-2012,8
07-24-2012,9
07-25-2012,9
07-26-2012,2
07-27-2012,6
07-30-2012,7
07-31-2012,14
08-01-2012,13
08-02-2012,11
08-06-2012,11
08-07-2012,20
08-08-2012,15
08-09-2012,20
08-10-2012,17
08-13-2012,8
08-14-2012,12
08-15-2012,16
08-16-2012,22
08-17-2012,19
08-20-2012,3
08-21-2012,21
08-22-2012,15
08-23-2012,19
08-24-2012,19
08-27-2012,9
08-28-2012,22
08-29-2012,13
08-30-2012,16
08-31-2012,13
09-01-2012,2
09-02-2012,4
09-04-2012,9
09-05-2012,21
09-06-2012,14
09-07-2012,14
09-10-2012,2
09-11-2012,20
09-12-2012,21
09-13-2012,25
09-14-2012,19
09-17-2012,17
09-18-2012,20
09-19-2012,19
09-20-2012,15
09-21-2012,12
09-24-2012,14
09-25-2012,29
09-26-2012,25
09-27-2012,22
09-28-2012,20
10-01-2012,9
10-02-2012,23
10-03-2012,27
10-04-2012,18
10-05-2012,8
10-08-2012,10
10-09-2012,21
10-10-2012,23
10-11-2012,28
10-12-2012,21
10-13-2012,9
10-14-2012,11
10-15-2012,16
10-16-2012,49
10-17-2012,48
10-18-2012,38
10-19-2012,45
10-20-2012,3
10-21-2012,3
10-22-2012,28
10-23-2012,29
10-24-2012,18
10-25-2012,26
10-26-2012,51
10-27-2012,6
10-28-2012,6
10-29-2012,10
10-30-2012,30
10-31-2012,28
11-01-2012,13
11-02-2012,38
11-03-2012,5
11-04-2012,6
11-05-2012,39
11-06-2012,49
11-07-2012,26
11-08-2012,20
11-09-2012,20
11-10-2012,10
11-11-2012,2
11-12-2012,8
11-13-2012,18
11-14-2012,18
11-15-2012,31
11-16-2012,9
11-19-2012,22
11-20-2012,31
11-21-2012,15
11-24-2012,4
11-26-2012,11
11-27-2012,21
11-28-2012,28
11-29-2012,25
11-30-2012,21
12-03-2012,18
12-04-2012,27
12-05-2012,33
12-06-2012,53
12-07-2012,24
12-10-2012,21
12-11-2012,23
12-12-2012,22
12-13-2012,6
12-14-2012,1
12-15-2012,2
12-17-2012,3
12-18-2012,11
12-19-2012,21
12-20-2012,34
12-21-2012,23
12-23-2012,4
12-24-2012,1
12-26-2012,6
12-27-2012,7
12-28-2012,32
01-01-2013,4
01-02-2013,20
01-03-2013,53
01-04-2013,20
01-07-2013,19
01-08-2013,44
01-09-2013,45
01-10-2013,57
01-11-2013,34
01-14-2013,34
01-15-2013,34
01-16-2013,15
01-17-2013,17
01-18-2013,33
01-21-2013,12
01-22-2013,56
01-23-2013,37
01-24-2013,47
01-25-2013,28
01-28-2013,10
01-29-2013,27
01-30-2013,35
01-31-2013,40
02-01-2013,23
02-03-2013,2
02-04-2013,28
02-05-2013,54
02-06-2013,60
02-07-2013,61
02-08-2013,25
02-09-2013,4
02-10-2013,1
02-11-2013,11
02-12-2013,50
02-13-2013,65
02-14-2013,61
02-15-2013,38
02-16-2013,3
02-18-2013,5
02-19-2013,26
02-20-2013,78
02-21-2013,13
02-22-2013,30
02-23-2013,3
02-24-2013,24
02-25-2013,54
02-26-2013,59
02-27-2013,78
02-28-2013,42
03-01-2013,35
03-02-2013,33
03-03-2013,31
03-04-2013,19
03-05-2013,19
03-06-2013,23
03-07-2013,25
03-08-2013,18
03-09-2013,1
03-10-2013,26
03-11-2013,10
03-12-2013,24
03-13-2013,25
03-14-2013,26
03-15-2013,27
03-16-2013,1
03-17-2013,34
03-18-2013,57
03-19-2013,66
03-20-2013,45
03-21-2013,15
03-22-2013,21
03-23-2013,11
03-24-2013,29
03-25-2013,27
03-26-2013,26
03-27-2013,39
03-28-2013,76
03-29-2013,14
03-30-2013,14
03-31-2013,30
04-01-2013,37
04-02-2013,15
04-03-2013,20
04-04-2013,10
04-05-2013,34
04-06-2013,6
04-07-2013,32
04-08-2013,12
04-09-2013,37
04-10-2013,34
04-11-2013,30
04-12-2013,40
